"id","name","url","thumbnail_image_url","recipe_kind_id"
30,"豚汁","https://chefgohan.gnavi.co.jp/detail/474","https://c-chefgohan.gnst.jp/imgdata/recipe/74/04/474/rc732x546_1209180339_722bbd0bd61d2cfc3691fa4ff58e8921.jpg",1
31,"鶏の竜田揚げ","https://chefgohan.gnavi.co.jp/detail/475","https://c-chefgohan.gnst.jp/imgdata/recipe/75/04/475/rc732x546_1209180338_53a6a09cdb06bf09648d0e75f5658b26.jpg",1
32,"鯵の南蛮漬け","https://chefgohan.gnavi.co.jp/detail/476","https://c-chefgohan.gnst.jp/imgdata/recipe/76/04/476/rc732x546_1209211013_978a3de7b79758905d8678e89159ce96.jpg",1
33,"恵方巻き（太巻き）","https://chefgohan.gnavi.co.jp/detail/2909","https://c-chefgohan.gnst.jp/imgdata/recipe/09/29/2909/rc732x546_1501290455_c6a3f8e980162e12d4fe33faadc2e0de.jpg",1
34,"はまぐりのお吸い物","https://chefgohan.gnavi.co.jp/detail/2933","https://c-chefgohan.gnst.jp/imgdata/recipe/33/29/2933/rc732x546_1502180300_1f2be611c78b9fbda7e9a765a8cda3ec.jpg",1
35,"茶碗蒸し　磯辺あん掛け","https://chefgohan.gnavi.co.jp/detail/2969","https://c-chefgohan.gnst.jp/imgdata/recipe/69/29/2969/rc732x546_1503120158_9a304acdbfa403fc31d3225c1607a744.jpg",1
36,"三色手まり寿司","https://chefgohan.gnavi.co.jp/detail/2970","https://c-chefgohan.gnst.jp/imgdata/recipe/70/29/2970/rc732x546_1503121159_dabd18bb574cc3be53424745b490ca67.jpg",1
37,"たけのこ西京土佐煮","https://chefgohan.gnavi.co.jp/detail/3206","https://c-chefgohan.gnst.jp/imgdata/recipe/06/32/3206/rc732x546_1503191133_cb0d460d53766099f555ac4d2fe7a887.jpg",1
38,"まぐろの漬け丼","https://chefgohan.gnavi.co.jp/detail/3259","https://c-chefgohan.gnst.jp/imgdata/recipe/59/32/3259/rc732x546_1505260117_969b91b44905af09e09e4741c9525272.jpg",1
39,"鯵のたたき","https://chefgohan.gnavi.co.jp/detail/3260","https://c-chefgohan.gnst.jp/imgdata/recipe/60/32/3260/rc732x546_1505260431_6d5bddb01c1a816b1b25891af3cfa3c0.jpg",1
40,"鯛の昆布じめ","https://chefgohan.gnavi.co.jp/detail/3261","https://c-chefgohan.gnst.jp/imgdata/recipe/61/32/3261/rc732x546_1505260534_25facdf620939aa4edb2e839b4013dc9.jpg",1
41,"ゴーヤチャンプルー","https://chefgohan.gnavi.co.jp/detail/3354","https://c-chefgohan.gnst.jp/imgdata/recipe/54/33/3354/rc732x546_1508040912_07c8a91909260a0e1f76be74fe40f8ea.jpg",1
42,"ジューシー（沖縄 炊き込み御飯）","https://chefgohan.gnavi.co.jp/detail/3355","https://c-chefgohan.gnst.jp/imgdata/recipe/55/33/3355/rc732x546_1508030447_662e64f5a2c18513968db5d4acd9677f.jpg",1
43,"土鍋で栗ごはん","https://chefgohan.gnavi.co.jp/detail/3508","https://c-chefgohan.gnst.jp/imgdata/recipe/08/35/3508/rc732x546_1509101850_7ac573ca196f4bffa5bddeccb43e5e80.jpg",1
44,"秋刀魚の蒲焼（肝焼き）","https://chefgohan.gnavi.co.jp/detail/3509","https://c-chefgohan.gnst.jp/imgdata/recipe/09/35/3509/rc732x546_1509151322_9d671ac426c2778a9c12a6f310d0998d.jpg",1
45,"蕎麦屋直伝　とり南蛮そば","https://chefgohan.gnavi.co.jp/detail/3878","https://c-chefgohan.gnst.jp/imgdata/recipe/78/38/3878/rc732x546_1512071456_7c3eda55ee0fcafe7dd20ad849cd990b.jpg",1
46,"芋金団（芋の栗きんとん）","https://chefgohan.gnavi.co.jp/detail/3882","https://c-chefgohan.gnst.jp/imgdata/recipe/82/38/3882/rc732x546_1512071827_887e43db5de127a29f4694a6fe051cf6.jpg",1
47,"伊達巻","https://chefgohan.gnavi.co.jp/detail/3883","https://c-chefgohan.gnst.jp/imgdata/recipe/83/38/3883/rc732x546_1512071724_a52d8333ff04d76e56803458d000a3be.jpg",1
48,"黒豆艶煮","https://chefgohan.gnavi.co.jp/detail/3884","https://c-chefgohan.gnst.jp/imgdata/recipe/84/38/3884/rc732x546_1512071744_f4698a7bb864b5d868685e3147b69fb7.jpg",1
49,"鰯のつみれ汁","https://chefgohan.gnavi.co.jp/detail/4054","https://c-chefgohan.gnst.jp/imgdata/recipe/54/40/4054/rc732x546_1603011445_1db0b8757d4e290e4f80517c06701c73.jpg",1
50,"あら汁[潮(うしお)汁]","https://chefgohan.gnavi.co.jp/detail/4069","https://c-chefgohan.gnst.jp/imgdata/recipe/69/40/4069/rc732x546_1603151531_26e9b48b2eaf9ed6e374a4031fbc1833.jpg",1
51,"西京焼き","https://chefgohan.gnavi.co.jp/detail/4071","https://c-chefgohan.gnst.jp/imgdata/recipe/71/40/4071/rc732x546_1612211250_ed012fb4950cad6099c95ef9124cfc82.jpg",1
52,"ちりめん山椒（ちりめんじゃこ有馬煮）","https://chefgohan.gnavi.co.jp/detail/4156","https://c-chefgohan.gnst.jp/imgdata/recipe/56/41/4156/rc732x546_1603291132_af38703d2742219b28cabf560a791a91.jpg",1
53,"高野豆腐の煮物","https://chefgohan.gnavi.co.jp/detail/4157","https://c-chefgohan.gnst.jp/imgdata/recipe/57/41/4157/rc732x546_1604201135_43c79f954cf2208f8e99035ae19e2356.jpg",1
54,"金目鯛の煮付け","https://chefgohan.gnavi.co.jp/detail/4200","https://c-chefgohan.gnst.jp/imgdata/recipe/00/42/4200/rc732x546_1604181026_02c5664c1820d6a73bf3029de1f4017a.jpg",1
55,"揚げ出し豆腐","https://chefgohan.gnavi.co.jp/detail/4201","https://c-chefgohan.gnst.jp/imgdata/recipe/01/42/4201/rc732x546_1604181724_5b6fb31309d94a081c273a2a903b7f1e.jpg",1
56,"茄子の旨煮　揚げ桜海老","https://chefgohan.gnavi.co.jp/detail/4272","https://c-chefgohan.gnst.jp/imgdata/recipe/72/42/4272/rc732x546_1605231900_1f255a4a3f0ac983584ad80ddcc1c0cb.jpg",1
57,"塩鮭の冷やし茶漬け","https://chefgohan.gnavi.co.jp/detail/4273","https://c-chefgohan.gnst.jp/imgdata/recipe/73/42/4273/rc732x546_1606031709_166ba69e696139056bd4d25d4fd9c165.jpg",1
58,"青菜のおひたし","https://chefgohan.gnavi.co.jp/detail/4367","https://c-chefgohan.gnst.jp/imgdata/recipe/67/43/4367/rc732x546_1607041710_790642df15f61d3ae5f499136db8341b.jpg",1
59,"胡麻豆腐","https://chefgohan.gnavi.co.jp/detail/4368","https://c-chefgohan.gnst.jp/imgdata/recipe/68/43/4368/rc732x546_1606301821_76cbaf2cabb7b8e606c1b9860042e51f.jpg",1
60,"野菜の白和え（白酢和え）","https://chefgohan.gnavi.co.jp/detail/4539","https://c-chefgohan.gnst.jp/imgdata/recipe/39/45/4539/rc732x546_1609211650_307ee35e725aae6f1753fc9ad4ea49d2.jpg",1
61,"鯖の幽庵焼","https://chefgohan.gnavi.co.jp/detail/4757","https://c-chefgohan.gnst.jp/imgdata/recipe/57/47/4757/rc732x546_1611071737_fb6c1c1a0630193da4e85e051e6bddca.jpg",1
62,"鶏と冬瓜のにゅうめん","https://chefgohan.gnavi.co.jp/detail/4381","https://c-chefgohan.gnst.jp/imgdata/recipe/81/43/4381/rc732x546_1607251448_0590650664110f962728790bf46c3721.jpg",1
63,"蕎麦屋直伝　エビ天そば","https://chefgohan.gnavi.co.jp/detail/4811","https://c-chefgohan.gnst.jp/imgdata/recipe/11/48/4811/rc732x546_1611241025_794b4deee3e678444a3f3859484876bf.jpg",1
64,"蕎麦屋直伝　きつねそば","https://chefgohan.gnavi.co.jp/detail/4810","https://c-chefgohan.gnst.jp/imgdata/recipe/10/48/4810/rc732x546_1611221904_1a00f57eb9e29d83fcb232d54ffc1ee7.jpg",1
65,"田作り","https://chefgohan.gnavi.co.jp/detail/4806","https://c-chefgohan.gnst.jp/imgdata/recipe/06/48/4806/rc732x546_1611281604_39105959f13a928eca65c5755186603c.jpg",1
66,"叩きごぼう","https://chefgohan.gnavi.co.jp/detail/4807","https://c-chefgohan.gnst.jp/imgdata/recipe/07/48/4807/rc732x546_1611281617_0b3817234c586e5b11484c9f6bd7f16d.jpg",1
67,"なます","https://chefgohan.gnavi.co.jp/detail/4808","https://c-chefgohan.gnst.jp/imgdata/recipe/08/48/4808/rc732x546_1611281631_97adff4f4d57355f5f020d4efbd47329.jpg",1
68,"鯛骨蒸し すだち餡掛け 白髪ネギ","https://chefgohan.gnavi.co.jp/detail/4791","https://c-chefgohan.gnst.jp/imgdata/recipe/91/47/4791/rc732x546_1611091731_16f7d0e3dca4cdbab0f23c373a7e8744.jpg",1
69,"数の子","https://chefgohan.gnavi.co.jp/detail/4625","https://c-chefgohan.gnst.jp/imgdata/recipe/25/46/4625/rc732x546_1609301545_2318ff80bed3947bf9799bbc168dc085.jpg",1
70,"ふき土佐煮","https://chefgohan.gnavi.co.jp/detail/4476","https://c-chefgohan.gnst.jp/imgdata/recipe/76/44/4476/rc732x546_1609201819_ea0708bcffd66e88ea59176b45497e4d.jpg",1
